大類代碼,大類,細類代碼,細類
F,營建工程業,4220,公用事業設施工程業
F,營建工程業,4290,其他土木工程業
F,營建工程業,4310,整地、基礎及結構工程業
F,營建工程業,4320,庭園景觀工程業
F,營建工程業,4331,機電、電信及電路設備安裝業
F,營建工程業,4332,冷凍、空調及管道工程業
F,營建工程業,4339,其他建築設備安裝業
F,營建工程業,4340,建物完工裝修工程業
F,營建工程業,4390,其他專門營造業
G,批發及零售業,4510,商品批發經紀業
G,批發及零售業,4520,綜合商品批發業
G,批發及零售業,4531,穀類及豆類批發業
G,批發及零售業,4532,花卉批發業
G,批發及零售業,4533,活動物批發業
G,批發及零售業,4539,其他農產原料批發業
G,批發及零售業,4541,蔬果批發業
G,批發及零售業,4542,肉品批發業
G,批發及零售業,4543,水產品批發業
G,批發及零售業,4544,冷凍調理食品批發業
G,批發及零售業,4545,乳製品、蛋及食用油脂批發業
G,批發及零售業,4546,菸酒批發業
G,批發及零售業,4547,非酒精飲料批發業
G,批發及零售業,4548,咖啡、茶葉及辛香料批發業
G,批發及零售業,4549,其他食品批發業
G,批發及零售業,4551,布疋批發業
G,批發及零售業,4552,服裝及其配件批發業
G,批發及零售業,4553,鞋類批發業
G,批發及零售業,4559,其他服飾品批發業
G,批發及零售業,4561,家用電器批發業
G,批發及零售業,4562,家具批發業
G,批發及零售業,4563,家飾品批發業
G,批發及零售業,4564,家用攝影器材及光學產品批發業
G,批發及零售業,4565,鐘錶及眼鏡批發業
G,批發及零售業,4566,珠寶及貴金屬製品批發業
G,批發及零售業,4567,清潔用品批發業
G,批發及零售業,4569,其他家用器具及用品批發業
G,批發及零售業,4571,藥品及醫療用品批發業
G,批發及零售業,4572,化粧品批發業
G,批發及零售業,4581,書籍及文具批發業
G,批發及零售業,4582,運動用品及器材批發業
G,批發及零售業,4583,玩具及娛樂用品批發業
G,批發及零售業,4611,木製建材批發業
G,批發及零售業,4612,磚瓦、砂石、水泥及其製品批發業
G,批發及零售業,4613,瓷磚、貼面石材及衛浴設備批發業
G,批發及零售業,4614,漆料及塗料批發業
G,批發及零售業,4615,金屬建材批發業
G,批發及零售業,4619,其他建材批發業
G,批發及零售業,4620,化學原材料及其製品批發業
G,批發及零售業,4631,液體、氣體燃料及相關產品批發業
G,批發及零售業,4639,其他燃料批發業
G,批發及零售業,4641,電腦及其週邊設備、軟體批發業
